IGBP,TIMESTAMP,LAT,LON,BLUE_L,GREEN_L,RED_L,NIR_L,SWIR1_L,SWIR2_L,NDVI_L,LSWI_L,NIRV_L,NIRVP_L,PAR_M,TA_E,VPD_E
OSH,2001-10-27,55.9167,-98.9644,0.127803999,0.133089379,0.129371892,0.186131745,0.129540585,0.092535388,0.179902375,0.17973765,0.033485543,1.161838048,34.69670625,272.5033442,0.147615995
OSH,2001-11-03,55.9167,-98.9644,0.24117574,0.244705969,0.240884978,0.292846301,0.065253225,0.040385728,0.09735484,0.634786786,0.028510005,0.756057779,26.51903375,273.1342818,0.101421889
OSH,2002-01-31,55.9167,-98.9644,0.43389708,0.420942479,0.414322512,0.438613169,0.091055992,0.071153129,0.028478885,0.655321367,0.012491214,0.286419565,22.92968238,242.1555901,0.01663932
OSH,2002-02-07,55.9167,-98.9644,0.462714281,0.464954307,0.458752651,0.477055819,0.105530112,0.07990594,0.019558669,0.636294372,0.009330577,0.251993412,27.00726988,251.3685843,0.027724588
OSH,2002-02-16,55.9167,-98.9644,0.534185543,0.515985446,0.499657478,0.500373313,0.290072828,0.267552478,0.000715813,0.267275759,0.000358174,0.005199892,14.51778713,258.8294754,0.041798938
OSH,2002-05-07,55.9167,-98.9644,0.588990534,0.422494842,0.427134658,0.424194593,0.085105907,0.06411487,-0.003453499,0.663025532,-0.001464956,-0.188420228,128.6183759,270.7300975,0.218169653
OSH,2002-05-23,55.9167,-98.9644,0.050257552,0.062249516,0.070699995,0.138857846,0.227162615,0.163090021,0.325246007,-0.240720904,0.04516296,6.354044726,140.6915038,271.3916537,0.254530462
OSH,2002-06-08,55.9167,-98.9644,0.045517625,0.060699589,0.066791557,0.145123772,0.232228555,0.160822466,0.369639211,-0.230637834,0.053643437,8.498743655,158.4302611,285.0825329,0.56757626
OSH,2002-07-10,55.9167,-98.9644,0.032602761,0.054272733,0.045023865,0.223309542,0.201972686,0.117881193,0.664418486,0.046613855,0.148370988,22.70827841,153.0506657,294.4420726,1.276862936
OSH,2002-07-26,55.9167,-98.9644,0.072010663,0.090854175,0.078968849,0.287908354,0.225722298,0.127379231,0.569508009,0.120650331,0.163966113,16.77126768,102.2849621,293.0630423,0.450587648
OSH,2002-09-12,55.9167,-98.9644,0.033326061,0.056363213,0.0485736,0.198584648,0.167320352,0.095312249,0.60694332,0.082051964,0.120529625,9.166710499,76.05358825,287.1139584,0.606150279
OSH,2002-11-06,55.9167,-98.9644,0.157951492,0.161618517,0.155725497,0.22910654,0.113789802,0.083352691,0.1906833,0.336879545,0.043686791,0.946889564,21.67450475,258.6970151,0.060259216
OSH,2003-02-03,55.9167,-98.9644,0.373110619,0.36519181,0.357225518,0.399155182,0.095381393,0.07367736,0.055434603,0.614530623,0.022127009,0.516510299,23.34297838,248.7291419,0.02256228
OSH,2003-02-10,55.9167,-98.9644,0.369609083,0.373041381,0.370027571,0.410667606,0.112915746,0.083619307,0.052056214,0.56814185,0.021377801,0.656402476,30.70486475,247.1456718,0.024077401
OSH,2003-02-19,55.9167,-98.9644,0.423263781,0.422037015,0.423638286,0.459820715,0.117767786,0.087937742,0.040955414,0.591814567,0.018832148,0.672845173,35.7285415,251.0546277,0.03079838
OSH,2003-02-26,55.9167,-98.9644,0.469474194,0.488961048,0.478535,0.4915425,0.16619,0.1302475,0.013408722,0.494657783,0.006590957,0.209264017,31.75017188,254.7731508,0.039876851
OSH,2003-03-07,55.9167,-98.9644,0.432530352,0.442101087,0.446660309,0.476568589,0.128365559,0.096977231,0.032395304,0.575759925,0.015438584,0.612384614,39.66585308,247.5097237,0.026693037
OSH,2003-04-15,55.9167,-98.9644,0.282189862,0.29999977,0.300577133,0.325874449,0.120650639,0.089674412,0.040381918,0.457929681,0.013159435,1.360278753,103.3690827,266.2418512,0.144478796
