TA_E,VPD_E,PAR_M,NDVI_L,NIRV_L,LSWI_L,NIRVP_L,prediction_label
272.50336,0.147616,34.696705,0.17990237,0.033485543,0.17973766,1.161838,0.3062291761896677
273.13428,0.10142189,26.519033,0.09735484,0.028510004,0.6347868,0.7560578,0.2850103029116922
242.1556,0.01663932,22.929682,0.028478885,0.012491214,0.65532136,0.28641957,0.004413156549243083
251.36859,0.027724588,27.00727,0.019558668,0.009330577,0.63629436,0.25199342,0.004413156549243083
258.82947,0.041798938,14.517787,0.000715813,0.000358174,0.26727575,0.005199892,0.008174700679653918
270.7301,0.21816966,128.61838,-0.003453499,-0.001464956,0.66302556,-0.18842022,0.23389099849618025
271.39166,0.25453046,140.6915,0.325246,0.04516296,-0.2407209,6.354045,0.6218561646228947
285.08252,0.5675763,158.43027,0.36963922,0.053643435,-0.23063783,8.498744,2.2651731256439036
294.44208,1.276863,153.05066,0.66441846,0.14837098,0.046613853,22.708279,5.265824742303282
293.06305,0.45058766,102.284966,0.569508,0.16396612,0.12065033,16.771267,4.421308248817402
287.11395,0.60615027,76.05359,0.6069433,0.12052962,0.08205196,9.166711,3.2152723539458696
258.69702,0.060259216,21.674505,0.1906833,0.043686792,0.33687955,0.9468896,0.03258344878894483
248.72914,0.02256228,23.342978,0.055434603,0.02212701,0.6145306,0.5165103,0.004413156549243083
247.14568,0.0240774,30.704865,0.052056216,0.021377802,0.5681419,0.65640247,0.004413156549243083
251.05463,0.03079838,35.728542,0.040955413,0.018832147,0.5918146,0.6728452,0.025591093831499052
254.77315,0.039876852,31.750172,0.013408722,0.006590957,0.49465778,0.20926401,0.025591093831499052
247.50972,0.026693037,39.66585,0.032395303,0.015438584,0.57575995,0.6123846,0.025591093831499052
266.24185,0.1444788,103.36908,0.04038192,0.013159435,0.45792967,1.3602787,0.13885828753382226
276.7768,0.33121452,93.6317,0.34975362,0.052944597,-0.18402681,4.9572926,0.691521391138728
271.05206,0.35204354,113.73015,0.3240831,0.043473598,-0.21108171,4.9442587,0.4065369421617359
275.68222,0.37433496,134.38228,0.36386535,0.052103776,-0.21037132,7.001824,0.9487081364730179
291.49222,1.0583837,130.3705,0.46285158,0.08079814,-0.10764511,10.533694,2.4138640540036747
291.18265,1.2036911,142.4816,0.515326,0.09780539,-0.044609424,13.935468,3.734211183589922
288.3243,0.6627272,119.00421,0.5612921,0.12656078,0.039516594,15.061266,3.834395461836443
289.7279,0.9264886,154.13928,0.5900499,0.11635879,0.01144087,17.935461,5.098503988889948
290.1945,0.6205755,114.39914,0.64950794,0.1677207,0.06645366,19.187103,4.8641914504766675
290.44098,0.6676362,144.56294,0.64042294,0.1326629,0.054277774,19.178139,5.166467580775311
294.70825,0.9347169,122.46647,0.6469892,0.13046801,0.051236317,15.977958,3.919743651395386
286.97214,0.4467889,61.095287,0.62492764,0.121375225,0.049456716,7.415454,2.614849375984379
277.16205,0.2227437,51.233387,0.38849175,0.04525818,-0.1332827,2.3187299,0.6310229127524303
261.39578,0.05131034,11.365725,0.020465216,0.008056942,0.4691321,0.09157298,0.004413156549243083
267.46487,0.050569516,20.51827,-0.003117407,-0.000445464,0.68082494,-0.009140147,0.11755125513859224
254.07635,0.032597184,24.152412,0.03034528,0.014053487,0.71024567,0.33942562,0.004413156549243083
249.5727,0.032947674,29.346315,0.04278083,0.020179909,0.6039952,0.59220594,0.004413156549243083
264.80594,0.068375036,44.204895,-0.001641521,-0.000771495,0.6994067,-0.034103837,0.08591987787272153
255.32326,0.053540576,80.438805,0.015454206,0.008704673,0.6639725,0.7001935,0.025591093831499052
275.4531,0.22810726,81.62867,0.006680983,0.003024277,0.71231204,0.24686772,0.5691162870596564
265.59247,0.1510408,88.7105,0.06999966,0.021426935,0.41145742,1.9007941,0.11692300263300572
268.26715,0.18107276,105.89488,0.0945468,0.02274038,0.25596216,2.4080899,0.3773989247540599
270.14572,0.19742458,109.73276,0.21643595,0.037680525,0.04547519,4.134788,0.3440850261640033
268.7823,0.19165121,110.135704,0.26390123,0.041588854,-0.098124176,4.5804176,0.20541760870878256
274.67395,0.24012291,142.32417,0.34472954,0.045979306,-0.19991823,6.543967,0.6144902280764164
288.20673,0.84033936,142.55061,0.3601942,0.052581985,-0.20245723,7.495594,1.3336564636375292
284.13382,0.44819102,109.22722,0.588126,0.13671142,0.024048083,14.932609,3.5615636436694444
291.84177,1.0487924,140.09584,0.59315604,0.1242519,0.037675682,17.407175,4.172381621300475
293.07712,0.9197802,108.269,0.27028516,0.08272078,0.16334884,8.956096,2.4075589007775533
284.19424,0.5687932,107.496025,0.657524,0.17382412,0.12794484,18.6854,4.704658029144831
285.30325,0.50758386,66.85092,0.3968258,0.062680215,-0.035903115,4.1902304,1.412557913434763
268.7908,0.11801549,33.154617,0.124910235,0.04330503,0.6694011,1.4357617,0.1930991444847352
271.4618,0.081714034,12.411201,0.19853753,0.043928016,0.3288442,0.5451994,0.25529032301899807
263.3187,0.10085885,19.083035,0.1731793,0.05255306,0.555052,1.0028719,0.08092092479886519
260.05685,0.047435723,12.732522,0.020233432,0.013557538,0.59440017,0.17262165,0.004413156549243083
251.6013,0.033278108,27.179,0.026155518,0.017356431,0.54794866,0.47173047,0.004413156549243083
253.08499,0.04026875,47.822643,0.005973783,0.003665553,0.51270413,0.17529643,0.025591093831499052
262.4532,0.06218307,70.292145,0.025507012,0.015339004,0.77300626,1.0782115,0.025591093831499052
274.82434,0.24418317,90.49989,-0.010714802,-0.00571253,0.83416176,-0.51698333,0.5691162870596564
276.80527,0.41846386,140.88857,0.3788491,0.05498273,-0.1632733,7.7464375,1.0207298987358362
291.7309,0.9939924,124.640625,0.47701785,0.08351827,-0.10677887,10.409768,2.4206305569300284
282.53867,0.49612626,157.44725,0.53054875,0.09177127,-0.03064537,14.449134,3.1217861113714305
285.2258,0.48676258,133.10532,0.716466,0.17254461,0.16451834,22.966606,5.420998810167372
288.36182,0.26957867,69.432846,0.60918254,0.1410398,0.17138582,9.792795,4.052973000021814
274.93967,0.19269404,89.4431,0.045455143,0.012783509,0.5439875,1.1433967,0.5691162870596564
282.21796,0.5375314,142.09143,0.7791523,0.24194169,0.31898513,34.377842,7.278593050622126
273.66873,0.23383746,24.934929,0.35167393,0.052253254,-0.00859897,1.3029312,0.3992686453869429
263.78928,0.11905834,79.74098,0.0638772,0.018609319,0.5036431,1.4839253,0.0787320347775184
268.4343,0.11456892,54.987617,0.07478265,0.028300371,0.44699034,1.55617,0.16973231718113246
270.11694,0.31730562,115.724236,0.23081376,0.0365151,-0.056941926,4.2256823,0.392469193261957
284.12802,0.8563883,113.36226,0.3170094,0.04876613,-0.20803282,5.528239,1.2143163975023878
279.5258,0.5285725,130.20096,0.39873394,0.069898516,-0.074228756,9.100853,2.1501175040529255
285.36414,0.7997704,157.92574,0.7718056,0.19981718,0.30881086,31.556274,7.147986554663433
285.37988,0.45252922,145.89088,0.85712373,0.30245304,0.4280046,44.125145,12.106644023129007
288.94537,0.65386015,115.911964,0.74719995,0.32165527,0.41634437,37.283695,12.14787734356107
288.82114,0.6746991,149.77306,0.89414966,0.35680094,0.45171326,53.439163,14.094015162734774
292.7084,0.9405397,151.13768,0.8788956,0.33329114,0.44155687,50.372852,13.31067502495382
298.192,1.1513401,137.411,0.8957655,0.3365489,0.42980134,46.245518,13.07151950842187
292.8557,1.1193749,106.500626,0.8653935,0.27558059,0.41646007,29.349504,8.639771768731336
289.16562,0.9185817,89.61461,0.6433066,0.24910067,0.38351437,22.32306,7.990878659146248
283.2865,0.3791389,75.971176,0.66140455,0.20603856,0.36661142,15.652991,5.028062752365192
280.48563,0.5151605,58.326725,0.35056463,0.059936833,-0.002429166,3.4959192,1.376604127828662
269.95706,0.1675683,41.591255,0.32159263,0.043971118,-0.004932841,1.828814,0.43297621213070697
275.05862,0.12427837,34.911026,0.28596488,0.042200368,-0.023303906,1.4732583,0.5068096928767073
243.66498,0.015299135,19.80003,0.06726747,0.015375135,0.39351538,0.30442813,0.004413156549243083
266.85318,0.064974174,32.139668,0.14616542,0.037408073,0.32978883,1.2022831,0.15210806506563226
266.38504,0.043515064,13.568039,0.009278542,0.004503638,0.06332872,0.06110554,0.054042653812938754
251.2102,0.03605977,56.01073,0.11549092,0.030149674,0.38200536,1.6887052,0.025591093831499052
278.85327,0.54065835,117.582115,0.24633715,0.040897407,-0.17034812,4.808803,0.4846444978007841
283.7753,0.9485463,131.51056,0.24596503,0.046780393,-0.14900818,6.1521153,1.0005891665126574
284.98886,0.9045686,140.03746,0.33052015,0.054187194,-0.17362536,7.5882373,1.3384149395293257
288.22025,0.81425077,148.5588,0.8750858,0.3275093,0.39893794,48.654392,11.927709396312506
300.4685,1.9784399,152.69815,0.8318391,0.29181385,0.38673255,44.559437,10.268942436260078
291.262,1.1960739,156.08582,0.88494366,0.33315936,0.4118517,52.00145,12.337507471934643
300.0557,1.8419281,129.49173,0.8448527,0.3021837,0.42524832,39.130287,10.916217610548987
289.44998,0.7351533,138.91046,0.8583166,0.365896,0.4108751,50.82678,12.88624852093868
287.64597,0.28396413,35.57786,0.75024843,0.3071541,0.46245873,10.927886,7.386329382518453
292.50812,0.8868615,112.30759,0.87551427,0.30290046,0.40964782,34.01802,9.464805209510022
285.887,0.3404919,79.56467,0.83746487,0.28754216,0.43284273,22.878199,8.373840252956121
289.0581,0.8135681,85.783615,0.83222467,0.25781253,0.40807572,22.116089,6.88825608734067
276.65173,0.34819922,70.17378,0.7799125,0.27165014,0.4130669,19.062717,5.2250883463560385
